,Weighted Parameters,Weighted Parameters,Weighted Parameters,Weighted Parameters,Raw Statistics,Raw Statistics,Raw Statistics,Adjusted Statistics,Adjusted Statistics
,PDN_mean,Diabetes_mean,PDN_std,Diabetes_std,t_stat,df,p_value,p_fdr_by,p_adj<0.05
metric,,,,,,,,,
SDRR,59.13675300164635,92.83706841302552,77.67609160571594,218.49474560928343,-5.69,1809,1.4766163427109422e-08,1.7708270581858742e-07,True
RMSSD,58.93750673973192,95.10519710585696,100.4517876670913,291.3032533123845,-4.64,1879,3.77605502913696e-06,3.396315731470721e-05,True
pNN50 (%),6.297692289007215,14.267209144292064,12.432854267821039,18.66488354092803,-11.05,807,1.507520118710025e-26,5.423664915025008e-25,True
Mean HR (bpm),83.56350046707689,75.27732221391193,10.158461750136551,11.512724522710784,15.04,630,6.764790886579883e-44,4.867591288986522e-42,True
VLF Power,75.27239212647542,4568.026373365719,1534.3125945652162,167807.85616234172,-1.29,2311,0.19849818725722834,0.9074639066663988,False
VLF Peak Frequency,0.02757198814993655,0.029285238444784818,0.008342774422789908,0.0071340567854742565,-3.95,535,8.871408587383852e-05,0.0007092670775456865,True
LF Power,389.71251791944144,14243.74076397148,6128.535645835863,527162.3620272554,-1.26,2312,0.20694787902721354,0.9074639066663988,False
LF Peak Frequency,0.09856679282129603,0.10516278830076681,0.03621469891199737,0.03279597651296828,-3.48,550,0.0005443430154094617,0.0035607353702323532,True
HF Power,2322.122843734636,34840.15490615111,16031.005448535938,1221511.9969212266,-1.28,2313,0.20116851073248374,0.9074639066663988,False
HF Peak Frequency,0.33923950478828907,0.3219393549272209,0.04843365612512837,0.059887078894849656,6.47,674,1.8956318254878776e-10,4.32096288427317e-09,True
LF÷HF Ratio,0.12618956226695982,0.14133645170732131,0.1157740512011315,0.17247755782106597,-2.26,800,0.024017443741370666,0.14401418301924426,False
S,27576.762875566765,157189.36538110193,183472.07400531418,3396090.1673799185,-1.82,2380,0.06898428952928307,0.3818269448605897,False
SD1,41.674684313516444,67.24716333059324,71.03001995802794,205.95286444824723,-4.64,1879,3.775115649595565e-06,3.396315731470721e-05,True
SD2,70.94721488755765,109.29723181227207,84.89573331907737,209.30428266411968,-6.38,1517,2.4020431137608606e-10,4.32096288427317e-09,True
SD1÷SD2,0.47854351519058824,0.5279958239415915,0.24919596602290944,0.23982930288409973,-3.76,568,0.00018857456744037447,0.001356884399217902,True
ApEn,0.8596247549236501,0.8781751456011706,0.28565148114439337,0.2541603318233221,-1.24,545,0.21439692534029123,0.9074639066663988,False
SampEn,1.0364649081398145,1.0122844089797594,0.5429255109925987,0.48038045636417936,0.85,544,0.39399299564313695,1.0,False
DFA α1,0.9411327961270707,0.9448427121295144,0.2910373308393332,0.2908510460417181,-0.24,581,0.810353375441867,1.0,False
DFA α2,0.9724449315239784,0.8745332994575375,0.31050397539326635,0.26043130128484326,6.08,531,2.319688072747486e-09,3.3382535086107314e-08,True
D2,-3.3140100111966735,-2.4994287351334323,23.178768872809457,1.2663216094750256,-0.72,419,0.4724346796540083,1.0,False
